phase,frame,turningRadius,rearBodyPosX,rearBodyPosY,rearBodyHeading,centerOfRotationX,centerOfRotationY,jointAngle
FORWARD.STOPPED.STEERING,130,5.56567,1.68511,-0.105881,-0.038297,1.92503,5.45571,-0.740146
FORWARD.STOPPED.STEERING,131,5.51331,1.69792,-0.106628,-0.0376207,1.93211,5.40277,-0.745637
FORWARD.STOPPED.STEERING,132,5.46276,1.71068,-0.107254,-0.0369105,1.9391,5.35178,-0.751005
FORWARD.STOPPED.STEERING,133,5.41477,1.72338,-0.107734,-0.0361416,1.94586,5.3035,-0.756165
FORWARD.STOPPED.STEERING,134,5.37053,1.73595,-0.108099,-0.03527,1.95215,5.25909,-0.760977
FORWARD.STOPPED.STEERING,135,5.33102,1.74832,-0.108396,-0.0342601,1.95773,5.2195,-0.765319
FORWARD.STOPPED.STEERING,136,5.29701,1.76045,-0.108677,-0.0330738,1.9624,5.18545,-0.769091
FORWARD.STOPPED.STEERING,137,5.2688,1.7723,-0.108986,-0.0316955,1.96604,5.15719,-0.772244
FORWARD.STOPPED.STEERING,138,5.24633,1.78388,-0.109366,-0.0301212,1.96862,5.13461,-0.774772
FORWARD.STOPPED.STEERING,139,5.22912,1.7952,-0.109849,-0.028366,1.97022,5.11719,-0.776718
FORWARD.STOPPED.STEERING,140,5.21584,1.80635,-0.110398,-0.0264932,1.97122,5.10364,-0.778225
FORWARD.STOPPED.STEERING,141,5.20591,1.81745,-0.110988,-0.0245325,1.97184,5.09338,-0.779356
FORWARD.STOPPED.STEERING,142,5.19841,1.82853,-0.111583,-0.0225189,1.97227,5.08553,-0.780212
FORWARD.MOVING.DESTEERING,1,5.18927,0.0110886,-0.00026234,0.00207627,1.97281,5.07579,-0.781256
FORWARD.MOVING.DESTEERING,2,5.21613,0.020882,-0.00102541,0.00517399,1.96692,5.10195,-0.778192
FORWARD.MOVING.DESTEERING,3,5.25503,0.0301844,-0.00176471,0.00861575,1.95872,5.14016,-0.773792
FORWARD.MOVING.DESTEERING,4,5.29977,0.0393905,-0.00223188,0.012119,1.9499,5.18443,-0.768783
FORWARD.MOVING.DESTEERING,5,5.34746,0.0486942,-0.00236771,0.0156122,1.94092,5.23191,-0.763507
FORWARD.MOVING.DESTEERING,6,5.39674,0.0581781,-0.00212642,0.0190511,1.9321,5.2813,-0.758119
FORWARD.MOVING.DESTEERING,7,5.44705,0.0678654,-0.00147873,0.0224149,1.92356,5.33205,-0.752688
FORWARD.MOVING.DESTEERING,8,5.49817,0.0777609,-0.00040765,0.0256943,1.91535,5.38397,-0.747237
FORWARD.MOVING.DESTEERING,9,5.55003,0.0878618,0.00109573,0.0288859,1.9075,5.437,-0.741779
FORWARD.MOVING.DESTEERING,10,5.6026,0.0981611,0.00303594,0.0319867,1.90002,5.49113,-0.736316
FORWARD.MOVING.DESTEERING,11,5.65588,0.10865,0.00541426,0.0349925,1.89295,5.54635,-0.730851
FORWARD.MOVING.DESTEERING,12,5.7099,0.119322,0.00822788,0.0379067,1.88625,5.6027,-0.725383
FORWARD.MOVING.DESTEERING,13,5.76484,0.130139,0.011452,0.0407457,1.8798,5.66032,-0.719895
FORWARD.MOVING.DESTEERING,14,5.82086,0.141056,0.0150442,0.0435244,1.87346,5.71935,-0.714375
FORWARD.MOVING.DESTEERING,15,5.8779,0.152061,0.0189638,0.0462508,1.86718,5.77967,-0.708831
FORWARD.MOVING.DESTEERING,16,5.93595,0.163142,0.023156,0.0489277,1.86093,5.84123,-0.703266
FORWARD.MOVING.DESTEERING,17,5.99504,0.174284,0.0275588,0.0515639,1.85463,5.904,-0.697681
FORWARD.MOVING.DESTEERING,18,6.0552,0.185474,0.0321041,0.0541626,1.84826,5.96792,-0.692076
FORWARD.MOVING.DESTEERING,19,6.11648,0.196696,0.0367226,0.0567398,1.84169,6.03298,-0.686449
FORWARD.MOVING.DESTEERING,20,6.1789,0.207939,0.0413461,0.059299,1.8349,6.09914,-0.6808
FORWARD.MOVING.DESTEERING,21,6.24249,0.219193,0.0459102,0.0618508,1.82779,6.16635,-0.675131
FORWARD.MOVING.DESTEERING,22,6.3073,0.230445,0.050358,0.0644045,1.8203,6.2346,-0.66944
FORWARD.MOVING.DESTEERING,23,6.37331,0.241693,0.0546398,0.0669631,1.81238,6.30383,-0.663731
FORWARD.MOVING.DESTEERING,24,6.44056,0.252923,0.0587175,0.0695331,1.80397,6.37404,-0.658006
FORWARD.MOVING.DESTEERING,25,6.50903,0.264129,0.0625637,0.072114,1.79507,6.44517,-0.652267
FORWARD.MOVING.DESTEERING,26,6.57876,0.275307,0.0661629,0.0747148,1.7856,6.51725,-0.646516
FORWARD.MOVING.DESTEERING,27,6.64974,0.286451,0.069512,0.0773349,1.77554,6.59026,-0.640755
FORWARD.MOVING.DESTEERING,28,6.72197,0.297556,0.0726187,0.0799757,1.76486,6.66422,-0.634988
FORWARD.MOVING.DESTEERING,29,6.79546,0.308618,0.0755016,0.082635,1.75357,6.73915,-0.629216
FORWARD.MOVING.DESTEERING,30,6.87021,0.319632,0.0781885,0.085311,1.74166,6.81506,-0.623444
FORWARD.MOVING.DESTEERING,31,6.94625,0.330598,0.0807144,0.0880024,1.72911,6.89201,-0.61767
FORWARD.MOVING.DESTEERING,32,7.02356,0.341513,0.0831197,0.0907051,1.71595,6.97004,-0.6119
FORWARD.MOVING.DESTEERING,33,7.10217,0.352376,0.0854491,0.0934156,1.70217,7.04922,-0.606132
FORWARD.MOVING.DESTEERING,34,7.18211,0.363187,0.0877483,0.0961298,1.6878,7.12959,-0.60037
FORWARD.MOVING.DESTEERING,35,7.26339,0.373947,0.0900625,0.0988438,1.67285,7.21124,-0.594613
FORWARD.MOVING.DESTEERING,36,7.34605,0.384658,0.0924346,0.101552,1.65735,7.29423,-0.588862
FORWARD.MOVING.DESTEERING,37,7.43012,0.395323,0.0949037,0.104252,1.64131,7.37864,-0.583118
FORWARD.MOVING.DESTEERING,38,7.51565,0.405945,0.0975033,0.106939,1.62474,7.46455,-0.57738
FORWARD.MOVING.DESTEERING,39,7.60269,0.41653,0.100261,0.109613,1.60764,7.55203,-0.571647
FORWARD.MOVING.DESTEERING,40,7.6913,0.427084,0.103197,0.112274,1.59,7.64116,-0.565918
FORWARD.MOVING.DESTEERING,41,7.78153,0.437614,0.106323,0.114919,1.57185,7.73201,-0.560193
